band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
theta,Fp2-C4,abs,Narco,TCSPi,9,35,217.0,0.08604361569521997,-0.37777777777777777,0.5162616941713198,
theta,Fp2-C4,abs,SYN,TCSPi,18,35,369.0,0.31499581143128474,-0.17142857142857149,1.0,
theta,T4-O2,rel,EAI,Narco,7,11,46.0,0.5360105580693816,-0.19480519480519476,1.0,
theta,T4-O2,rel,EAI,SYN,7,19,78.0,0.5335603526907874,-0.1729323308270676,1.0,
theta,T4-O2,rel,EAI,TCSPi,7,39,137.0,1.0,-0.00366300366300365,1.0,
theta,T4-O2,rel,Narco,SYN,11,19,108.0,0.8972710782822758,-0.03349282296650724,1.0,
theta,T4-O2,rel,Narco,TCSPi,11,39,174.0,0.34887254512632315,0.18881118881118886,1.0,
theta,T4-O2,rel,SYN,TCSPi,19,39,297.0,0.22650021654968489,0.19838056680161942,1.0,
theta,T4-O2,abs,EAI,Narco,7,9,13.0,0.0548951048951049,0.5873015873015873,0.2195804195804196,
theta,T4-O2,abs,EAI,SYN,7,18,60.0,0.8826045350530475,0.04761904761904767,1.0,
theta,T4-O2,abs,EAI,TCSPi,7,36,124.0,0.9615235968939286,0.015873015873015928,1.0,
theta,T4-O2,abs,Narco,SYN,9,18,134.0,0.0069275179772265065,-0.654320987654321,0.04156510786335904,*
theta,T4-O2,abs,Narco,TCSPi,9,36,247.0,0.01649810595308903,-0.5246913580246915,0.08249052976544516,
theta,T4-O2,abs,SYN,TCSPi,18,36,320.0,0.948792754378421,0.012345679012345734,1.0,
theta,Fp1-A1,rel,EAI,Narco,7,11,32.0,0.5961538461538461,0.16883116883116878,1.0,
theta,Fp1-A1,rel,EAI,SYN,7,18,82.0,0.2698855835240275,-0.3015873015873016,1.0,
theta,Fp1-A1,rel,EAI,TCSPi,7,39,123.0,0.6971764053516994,0.09890109890109888,1.0,
theta,Fp1-A1,rel,Narco,SYN,11,18,142.0,0.056103227255365144,-0.43434343434343425,0.2805161362768257,
theta,Fp1-A1,rel,Narco,TCSPi,11,39,222.0,0.869781349844311,-0.034965034965035,1.0,
theta,Fp1-A1,rel,SYN,TCSPi,18,39,202.0,0.010791473440782242,0.4245014245014245,0.06474884064469345,
theta,Fp1-A1,abs,EAI,Narco,6,9,17.0,0.2721278721278721,0.37037037037037035,1.0,
theta,Fp1-A1,abs,EAI,SYN,6,17,36.0,0.31925663962277234,0.2941176470588235,1.0,
theta,Fp1-A1,abs,EAI,TCSPi,6,35,109.0,0.8999027663982737,-0.03809523809523818,1.0,
theta,Fp1-A1,abs,Narco,SYN,9,17,86.0,0.6276258050283593,-0.12418300653594772,1.0,
theta,Fp1-A1,abs,Narco,TCSPi,9,35,219.0,0.07592450107576011,-0.3904761904761904,0.4555470064545607,
theta,Fp1-A1,abs,SYN,TCSPi,17,35,382.0,0.10129616704298187,-0.28403361344537825,0.5064808352149094,
theta,Fp2-A1,rel,EAI,Narco,7,11,36.0,0.8601055806938159,0.06493506493506496,1.0,
theta,Fp2-A1,rel,EAI,SYN,7,18,82.0,0.2698855835240275,-0.3015873015873016,1.0,
theta,Fp2-A1,rel,EAI,TCSPi,7,39,129.0,0.8341616614989572,0.05494505494505497,1.0,
theta,Fp2-A1,rel,Narco,SYN,11,18,138.0,0.0835505652672125,-0.39393939393939403,0.4177528263360625,
theta,Fp2-A1,rel,Narco,TCSPi,11,39,228.0,0.7607828036166537,-0.06293706293706292,1.0,
theta,Fp2-A1,rel,SYN,TCSPi,18,39,213.0,0.018248509543120617,0.3931623931623932,0.10949105725872371,
